cancer_name,OS,time,average A_Auc,G,G_tilda0,G_tilda1,G_tilda2,G_ind,G_mix,G_NT_ind,G_Sup_ind,G_Unsup_ind,G_NT_mix,G_Sup_mix,G_Unsup_mix,Pattern
BRCA,DSS,3,0.7069573443412451,0.15893220172684452,0.15811970172684464,0.17549470172684456,0.27386970172684455,0.1914177786499215,0.12644662480376756,-0.03762499999999991,-0.02024999999999999,0.078125,0.03600000000000014,0.05337500000000006,0.15175000000000005,110
BRCA,DSS,4,0.7107716049382715,0.1466838117458522,0.16936009379713424,0.13682804251508296,0.259103683540724,0.12265801753393668,0.17070960595776785,0.03974358974358971,0.007211538461538436,0.12948717948717947,0.005608974358974228,-0.02692307692307705,0.09535256410256399,110
BRCA,DSS,5,0.6654528985507246,0.11949485915281244,0.17509830742867472,0.12509830742867456,0.2569948591528125,0.08107003276914293,0.15791968553648206,0.09612068965517251,0.04612068965517235,0.1780172413793103,0.015086206896551935,-0.03491379310344822,0.09698275862068972,110
BRCA,OS,3,0.6518463730002193,0.13763695987654312,0.1133036265432098,0.13285918209876535,0.15919251543209867,0.14106944444444436,0.13420447530864177,-0.03533333333333333,-0.01577777777777778,0.01055555555555554,-0.013333333333333197,0.006222222222222351,0.03255555555555567,110
BRCA,OS,4,0.6517500731635938,0.11421399385215181,0.18254732718548516,0.11947040410856202,0.20703450667266454,0.08321749887539376,0.14521048882890997,0.0971794871794871,0.03410256410256396,0.12166666666666648,0.0394871794871795,-0.02358974358974364,0.06397435897435888,110
BRCA,PFI,2,0.6997597597597598,0.2760534277051903,0.11658514412310084,0.2739545471081754,0.269663502332056,0.36786392968842774,0.1842429257219529,-0.2586753731343283,-0.10130597014925374,-0.10559701492537316,-0.06026119402985064,0.09710820895522393,0.09281716417910452,111
BRCA,PFI,3,0.6540295308406764,0.17247701901273327,0.09842146345717762,0.1715325745682889,0.1650881301238445,0.21602472527472522,0.12892931275074127,-0.12344444444444452,-0.05033333333333323,-0.05677777777777765,-0.024666666666666726,0.04844444444444457,0.04200000000000015,110
BRCA,PFI,4,0.6592475386779184,0.11480856735832257,0.08657391823551563,0.07571865507762099,0.1799949708670946,0.14627288155289986,0.08334425316374527,-0.055153508771929705,-0.06600877192982435,0.038267543859649256,-0.001315789473684159,-0.012171052631578805,0.0921052631578948,110
GBMLGG,DSS,1,0.8284317940780234,0.10117113277558021,0.08708779944224676,0.09058779944224693,0.30708779944224696,0.11900408396634798,0.08333818158481232,-0.03249999999999997,-0.028999999999999804,0.18750000000000022,0.004333333333333189,0.007833333333333359,0.22433333333333338,110
GBMLGG,DSS,2,0.877734300439015,0.17302372516663422,0.0811487251666343,0.15823205849996758,0.33531539183330084,0.25309680968096815,0.0929506406523003,-0.17541666666666667,-0.09833333333333338,0.07874999999999988,-0.008333333333333193,0.06875000000000009,0.24583333333333335,110
