cancer_name,OS,time,average A_Auc,G,G_tilda0,G_tilda1,G_tilda2,G_ind,G_mix,G_NT_ind,G_Sup_ind,G_Unsup_ind,G_NT_mix,G_Sup_mix,G_Unsup_mix,Pattern
BRCA,DSS,3,0.7006793945648435,0.16206017791732064,0.13806017791732073,0.09506017791732069,0.2443101779173208,0.20907535321821025,0.11504500261643102,-0.0724999999999999,-0.11549999999999994,0.03375000000000017,0.024500000000000077,-0.01849999999999996,0.13075000000000014,110
BRCA,DSS,4,0.7150874485596708,0.15804169023378578,0.1408141261312218,0.14305771587481142,0.23776925433635,0.1823564762443437,0.13372690422322797,-0.05673076923076903,-0.054487179487179405,0.040224358974359165,0.022275641025641058,0.024519230769230682,0.11923076923076925,110
BRCA,DSS,5,0.6569444444444443,0.12616965547304815,0.12854034512822043,0.09858344857649637,0.19470413823166888,0.14457772149234882,0.10776158945374747,-0.0161637931034484,-0.046120689655172464,0.050000000000000044,0.020905172413792972,-0.009051724137931094,0.08706896551724141,110
BRCA,PFI,2,0.6924349349349348,0.27818198397039107,0.14856444665695823,0.20015026755248067,0.27309802874651057,0.36358880778914227,0.19277516015163976,-0.21921641791044777,-0.16763059701492533,-0.09468283582089543,-0.04001865671641791,0.011567164179104528,0.08451492537313443,111
GBMLGG,DSS,1,0.8271978100725198,0.12730086580086575,0.10430086580086573,0.1114675324675326,0.3296341991341992,0.16488411453775342,0.08971761706397818,-0.06166666666666676,-0.05449999999999988,0.16366666666666674,0.015666666666666607,0.022833333333333483,0.2410000000000001,110
GBMLGG,DSS,2,0.8682777520246502,0.19697057205720558,0.09030390539053901,0.14072057205720567,0.299678905390539,0.2737484226363812,0.12019272147803006,-0.18729166666666663,-0.13687499999999997,0.022083333333333344,-0.02604166666666663,0.024375000000000036,0.18333333333333335,111
GBMLGG,OS,1,0.8207812387078123,0.1653767794175265,0.10771548909494577,0.14336065038526835,0.3272316181272039,0.20952541092184562,0.12122814791320724,-0.10080645161290336,-0.06516129032258078,0.11870967741935479,-0.014516129032258074,0.021129032258064506,0.20500000000000007,110
GBMLGG,OS,2,0.8704438025210083,0.19299371423210432,0.07917018482033933,0.1460329299183788,0.29720940050661404,0.2792724458204334,0.10671498264377521,-0.2033333333333336,-0.13647058823529412,0.014705882352941124,-0.02431372549019639,0.042549019607843075,0.19372549019607832,111
GBMLGG,PFI,1,0.8222029822029822,0.2006937735970744,0.09347786450616546,0.18506877359707452,0.28904604632434716,0.2797959190788122,0.12159162811533664,-0.1897727272727272,-0.09818181818181815,0.005795454545454493,-0.024659090909090797,0.06693181818181826,0.1709090909090909,111
GBMLGG,PFI,2,0.8277691605839417,0.1270803893971384,0.03009763077644856,0.09130452732817274,0.2811321135350693,0.1879909453436549,0.06616983345062166,-0.1627586206896553,-0.10155172413793112,0.08827586206896543,-0.03120689655172426,0.029999999999999916,0.21982758620689646,111
KIPAN,DSS,1,0.7718695652173914,0.14727413293286795,0.013859260134433393,0.13470074741427684,0.4020197298017524,0.23014332853742347,0.06440493732831243,-0.21037181996086118,-0.08953033268101773,0.1777886497064578,-0.056457925636008044,0.06438356164383541,0.33170254403131094,111
KIPAN,DSS,2,0.7854970923038853,0.15282899406375006,0.0764062298361079,0.09930595883339777,0.3268127339011484,0.20636102001776302,0.0992969681097371,-0.1334688346883467,-0.11056910569105682,0.11693766937669381,-0.019376693766937625,0.003523035230352245,0.23102981029810288,110
KIPAN,DSS,3,0.7539780907668232,0.11929012345679024,0.043271604938271646,0.11771604938271607,0.21938271604938286,0.1732317188983855,0.06534852801519475,-0.1274074074074074,-0.05296296296296299,0.048703703703703805,-0.024629629629629668,0.049814814814814756,0.15148148148148155,111
KIPAN,DSS,4,0.7483565411724256,0.23570688502673787,0.11196951128936428,0.19505031937017236,0.3405048648247177,0.33441083630421853,0.1370029337492572,-0.21717171717171713,-0.13409090909090904,0.011363636363636298,-0.030303030303030165,0.05277777777777792,0.19823232323232326,111
KIPAN,DSS,5,0.7780481423338566,0.2694300038940811,0.12021125389408105,0.192398753894081,0.27864875389408106,0.35924260124610596,0.17961740654205627,-0.24031250000000004,-0.16812500000000008,-0.08187500000000003,-0.05812500000000009,0.014062499999999867,0.10031249999999992,111
KIPAN,OS,1,0.7410132340777502,0.15969240399891083,0.03249645805296486,0.1499795661610731,0.2588478094043163,0.22881007230322303,0.09057473569459862,-0.20042229729729732,-0.08293918918918908,0.0259290540540541,-0.053969594594594605,0.06351351351351364,0.17238175675675682,111
KIPAN,OS,2,0.7110498356818079,0.13421243447644304,0.022545767809776573,0.10802195828596695,0.2261171963812051,0.19841602721990648,0.07000884173297972,-0.17321428571428554,-0.08773809523809517,0.03035714285714297,-0.05011904761904751,0.035357142857142865,0.153452380952381,111
KIPAN,OS,3,0.6961606373815676,0.0922464589288543,0.0394910825847683,0.14016312559552102,0.1722867815094994,0.1351116415804131,0.049381276277295494,-0.094758064516129,0.005913978494623717,0.03803763440860208,-0.01075268817204289,0.08991935483870983,0.1220430107526882,110
KIPAN,OS,4,0.6949771369914146,0.19593258631302124,0.1099724413854849,0.19946519500867332,0.19366809355939807,0.2570972925010194,0.13476788012502283,-0.14420289855072477,-0.05471014492753634,-0.060507246376811596,-0.027717391304347805,0.06177536231884062,0.055978260869565366,111
KIPAN,OS,5,0.72604,0.19224128170289856,0.09380378170289849,0.16422044836956518,0.3260954483695652,0.25951256793478267,0.1249699954710144,-0.16979166666666673,-0.09937500000000005,0.0625,-0.027083333333333348,0.043333333333333335,0.20520833333333338,111
